metro_line;station_from;station_to;stations_combination
1;101;135;101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
2;201;218;201,202,203,117,205,206,207,208,209,210,111,212,213,214,215,216,217,218
5;501;523;501,502,503,504,505,206,116,508,509,510,511,218,513,514,515,516,517,518,519,520,521,522,523
6;601;633;601,602,603,604,605,606,607,608,609,610,611,213,613,614,615,509,203,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633
7;135;730;135,134,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,505,723,724,725,726,727,728,729,730
8;801;834;801,802,803,804,805,806,807,808,809,810,811,812,813,814,815,216,817,615,819,820,115,207,724,824,825,826,827,828,829,830,831,832,833,834
9;901;912;901,610,902,108,730,905,906,907,908,909,910,911,912
10;1001;1045;1001,1002,1003,1004,1005,1006,1007,1008,813,1010,515,1012,1013,1014,1015,1016,1017,619,1019,119,719,1022,1023,1024,1025,1026,501,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,906,1039,107,1041,608,1043,1044,1045
4;401;435;401,402,403,404,405,406,1003,408,409,901,411,214,413,613,415,416,112,209,726,420,421,422,1031,424,425,426,427,428,429,430,431,432,433,434,435
11;601;1103;601,1102,1103
13;214;201;214,1302,1005,1304,1305,1306,1307,1308,1309,805,520,1312,1313,1012,1315,1316,201
14;1401;1433;1401,1402,1403,1404,1405,907,1037,1408,1409,1410,1411,1412,421,825,1415,503,1417,1024,1419,1420,718,120,620,1424,1425,1426,1427,1428,1429,1430,1431,1432,1433
15;1501;1520;1501,1502,1503,1504,1505,1506,1507,1508,1509,1510,1511,1430,1313,1514,517,1516,811,1518,1519,1520
16;1601;1616;1601,1602,1603,1604,1605,1606,1607,1608,1609,403,1611,1612,1613,901,1615,1616
17;1024;1707;1024,1702,1703,1704,1705,1706,1707
19;1007;425;1007,215,1903,1032,1905,425
18;501;1814;501,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1706,1814
20;2001;1306;2001,2002,2011,2003,2004,2005,2006,2007,2008,801,2010,1307,1306
21;2101;2116;2101,1034,2103,2104,912,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116
22;2116;2209;2116,2202,2203,2204,2205,2206,2207,2208,2209
23;602;2308;602,601,2303,2304,2305,2306,2307,2308
24;511;2405;511,201,1014,2404,2405
25;1032;2503;1032,2502,2503
26;2601;2614;2601,2602,2603,2604,1809,2606,2607,2608,2609,2610,2611,2612,2613,2614
27;1001;2706;1001,2702,2703,2704,2705,2706
